127.0.0.1 - - [23/Jun/2021:20:13:39 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:15:11 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 3374
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:15:11 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 200 223178
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:15:12 +0900] "GET /PrjApp/js/jquery.min.js HTTP/1.1" 200 88144
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:15:12 +0900] "GET /PrjApp/js/popper.js HTTP/1.1" 200 21003
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:15:12 +0900] "GET /PrjApp/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:15:12 +0900] "GET /PrjApp/js/main.js HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:15:12 +0900] "GET /PrjApp/images/kakao_login.png HTTP/1.1" 200 13932
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:15:12 +0900] "GET /PrjApp/images/naver_login.png HTTP/1.1" 200 14255
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:15:13 +0900] "GET /PrjApp/images/jeju.png HTTP/1.1" 200 173646
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:15:15 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:15:17 +0900] "GET /FinalApp/Signin.jsp HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:15:45 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 3372
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:15:45 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:15:46 +0900] "GET /PrjApp/Signin.jsp HTTP/1.1" 200 2919
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:15:46 +0900] "GET /PrjApp/images/gyeongju.jpg HTTP/1.1" 200 108830
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:17:15 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 3372
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:17:15 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 200 223937
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:17:33 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 3372
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:17:33 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 200 223944
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:17:35 +0900] "GET /PrjApp/Signin.jsp HTTP/1.1" 200 2919
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:17:35 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:17:40 +0900] "GET /PrjApp/Signin.jsp HTTP/1.1" 200 2919
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:17:40 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:18:15 +0900] "GET /PrjApp/Signin.jsp HTTP/1.1" 200 2921
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:18:15 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 200 223950
0:0:0:0:0:0:0:1 - - [23/Jun/2021:20:18:41 +0900] "GET /PrjApp/Signin.jsp HTTP/1.1" 200 2923
