127.0.0.1 - - [28/Jun/2021:12:19:20 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:19:41 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 4796
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:19:41 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 200 224598
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:19:42 +0900] "GET /PrjApp/js/jquery.min.js HTTP/1.1" 200 88144
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:19:42 +0900] "GET /PrjApp/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:19:42 +0900] "GET /PrjApp/js/popper.js HTTP/1.1" 200 21003
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:19:42 +0900] "GET /PrjApp/js/main.js HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:19:42 +0900] "GET /PrjApp/images/kakao_login.png HTTP/1.1" 200 13932
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:19:42 +0900] "GET /PrjApp/images/naver_login.png HTTP/1.1" 200 14255
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:19:42 +0900] "GET /PrjApp/images/jeju.png HTTP/1.1" 200 173646
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:19:57 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 4811
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:01 +0900] "GET /PrjApp/js/popper.min.js.map HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:01 +0900] "GET /PrjApp/js/bootstrap.min.js.map HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:26 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 4811
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:26 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 200 224598
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:26 +0900] "GET /PrjApp/js/jquery.min.js HTTP/1.1" 200 88144
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:26 +0900] "GET /PrjApp/js/popper.js HTTP/1.1" 200 21003
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:26 +0900] "GET /PrjApp/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:26 +0900] "GET /PrjApp/js/main.js HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:26 +0900] "GET /PrjApp/images/kakao_login.png HTTP/1.1" 200 13932
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:26 +0900] "GET /PrjApp/images/naver_login.png HTTP/1.1" 200 14255
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:20:26 +0900] "GET /PrjApp/images/jeju.png HTTP/1.1" 200 173646
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:24:16 +0900] "GET /PrjApp/tables.html HTTP/1.1" 200 38754
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:24:16 +0900] "GET /PrjApp/css/styles.css HTTP/1.1" 200 212067
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:24:16 +0900] "GET /PrjApp/js/datatables-simple-demo.js HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:24:16 +0900] "GET /PrjApp/js/scripts.js HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:25:12 +0900] "GET /PrjApp/tables.html HTTP/1.1" 200 38584
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:25:12 +0900] "GET /PrjApp/css/styles.css HTTP/1.1" 200 212067
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:25:12 +0900] "GET /PrjApp/js/scripts.js HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:25:12 +0900] "GET /PrjApp/js/datatables-simple-demo.js HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [28/Jun/2021:12:26:30 +0900] "GET /PrjApp/tables.html HTTP/1.1" 200 38583
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:08:26 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 4811
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:08:27 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 200 224598
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:08:27 +0900] "GET /PrjApp/js/jquery.min.js HTTP/1.1" 200 88144
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:08:27 +0900] "GET /PrjApp/js/popper.js HTTP/1.1" 200 21003
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:08:27 +0900] "GET /PrjApp/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:08:27 +0900] "GET /PrjApp/js/main.js HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:08:27 +0900] "GET /PrjApp/images/kakao_login.png HTTP/1.1" 200 13932
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:08:27 +0900] "GET /PrjApp/images/naver_login.png HTTP/1.1" 200 14255
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:08:27 +0900] "GET /PrjApp/images/jeju.png HTTP/1.1" 200 173646
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:08:30 +0900] "GET /PrjApp/FindPw.jsp HTTP/1.1" 200 4567
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:08:30 +0900] "GET /PrjApp/images/gangneung.jpg HTTP/1.1" 200 139019
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:08:34 +0900] "GET /PrjApp/ProfileTest.jsp HTTP/1.1" 200 9971
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:08:35 +0900] "GET /PrjApp/images/profile_img_sample.jpg HTTP/1.1" 200 48005
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:08:35 +0900] "GET /PrjApp/images/sample.PNG HTTP/1.1" 200 184936
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:15:20 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 4824
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:15:37 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 4833
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:15:55 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 4846
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:16:26 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 4837
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:16:41 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 4824
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:19:10 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 4824
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:19:12 +0900] "GET /PrjApp/Signin.jsp HTTP/1.1" 200 3227
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:19:12 +0900] "GET /PrjApp/images/google_login.jpg HTTP/1.1" 200 58374
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:19:12 +0900] "GET /PrjApp/images/gyeongju.jpg HTTP/1.1" 200 108830
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:20:33 +0900] "GET /PrjApp/Signin.jsp HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:21:00 +0900] "GET /PrjApp/Signin.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [28/Jun/2021:20:22:49 +0900] "GET /PrjApp/Signin.jsp HTTP/1.1" 200 3273
