127.0.0.1 - - [22/Jun/2021:14:41:45 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [22/Jun/2021:14:41:49 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 2984
0:0:0:0:0:0:0:1 - - [22/Jun/2021:14:41:49 +0900] "GET /PrjApp/images/kakao_login.png HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [22/Jun/2021:14:41:50 +0900] "GET /PrjApp/images/img.png HTTP/1.1" 200 173646
0:0:0:0:0:0:0:1 - - [22/Jun/2021:14:42:15 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [22/Jun/2021:14:42:15 +0900] "GET /PrjApp/images/kakao_login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2021:14:48:50 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [22/Jun/2021:14:48:51 +0900] "GET /PrjApp/images/kakao_login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2021:14:48:51 +0900] "GET /PrjApp/images/naver_login.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [22/Jun/2021:14:49:23 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 2927
0:0:0:0:0:0:0:1 - - [22/Jun/2021:14:49:23 +0900] "GET /PrjApp/images/naver_login.png HTTP/1.1" 200 20484
0:0:0:0:0:0:0:1 - - [22/Jun/2021:14:50:38 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [22/Jun/2021:14:50:38 +0900] "GET /PrjApp/images/kakao_login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2021:14:50:52 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [22/Jun/2021:14:52:54 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [22/Jun/2021:14:52:54 +0900] "GET /PrjApp/images/kakao_login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2021:14:54:56 +0900] "GET /PrjApp/js/popper.min.js.map HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [22/Jun/2021:14:54:56 +0900] "GET /PrjApp/js/bootstrap.min.js.map HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:11:18 +0900] "GET /PrjApp/js/popper.min.js.map HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:11:18 +0900] "GET /PrjApp/js/bootstrap.min.js.map HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:14:39 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:14:39 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 200 223351
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:14:39 +0900] "GET /PrjApp/js/jquery.min.js HTTP/1.1" 200 88144
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:14:39 +0900] "GET /PrjApp/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:14:39 +0900] "GET /PrjApp/js/popper.js HTTP/1.1" 200 21003
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:14:39 +0900] "GET /PrjApp/images/kakao_login.png HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:14:39 +0900] "GET /PrjApp/images/naver_login.png HTTP/1.1" 200 20484
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:14:39 +0900] "GET /PrjApp/js/main.js HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:14:39 +0900] "GET /PrjApp/images/img.png HTTP/1.1" 200 173646
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:14:52 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 2955
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:14:52 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 200 223362
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:18:21 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 2907
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:18:21 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:18:21 +0900] "GET /PrjApp/images/kakao_login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:19:18 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 2979
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:19:18 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 200 223362
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:19:41 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:19:41 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:19:54 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:19:54 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:20:09 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:20:09 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:20:21 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:20:21 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:20:32 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:20:32 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:20:54 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 3007
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:20:54 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:21:20 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:21:20 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:21:32 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 3014
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:21:50 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 3014
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:21:50 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:24:45 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 3014
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:24:45 +0900] "GET /PrjApp/images/kakao_login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:24:45 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 200 223191
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:24:48 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 3014
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:24:48 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:25:18 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 3014
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:25:18 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 200 223133
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:25:34 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 3014
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:25:35 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 200 223133
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:25:35 +0900] "GET /PrjApp/js/jquery.min.js HTTP/1.1" 200 88144
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:25:35 +0900] "GET /PrjApp/js/popper.js HTTP/1.1" 200 21003
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:25:35 +0900] "GET /PrjApp/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:25:35 +0900] "GET /PrjApp/js/main.js HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:25:35 +0900] "GET /PrjApp/images/kakao_login.png HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:25:35 +0900] "GET /PrjApp/images/naver_login.png HTTP/1.1" 200 20484
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:25:35 +0900] "GET /PrjApp/images/img.png HTTP/1.1" 200 173646
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:26:34 +0900] "GET /PrjApp/Login.jsp HTTP/1.1" 200 3022
0:0:0:0:0:0:0:1 - - [22/Jun/2021:15:26:34 +0900] "GET /PrjApp/css/style.css HTTP/1.1" 304 -
